business_id,industry_sector,business_age_years,region_parish,annual_revenue,revenue_growth_yoy,profit_margin,avg_bank_balance,cash_to_monthly_expense_ratio,overdraft_days_last_12m,loan_amount_outstanding,debt_to_revenue,interest_rate_weighted_avg,term_months_remaining,days_past_due_max_last_12m,num_active_loans,num_employees,total_payroll_last_12m,missed_payroll_count_last_12m,payroll_growth_yoy,credit_score_business,num_returned_payments_last_12m,has_tax_lien,prior_default_or_bankruptcy,avg_monthly_card_spend,card_spend_growth_yoy,utilization_rate_card,days_late_card_payment_max_last_12m,igs_spend_growth_tract,igs_new_businesses_growth_tract,igs_small_business_loans_growth_tract,igs_personal_income_growth_tract,igs_spending_per_capita_growth_tract,igs_labor_market_engagement_index,igs_minority_women_owned_pct,igs_commercial_diversity_pct,igs_tract_population,igs_median_income_tract,revenue_growth_vs_tract_benchmark,spending_growth_vs_tract_benchmark,labor_market_health_score,risk_score,default_flag
100001,Construction,5.3,Ouachita,1453911,-0.1596,0.2852,158889.65,1.83,0,1965906,1.3522,0.035,36,0,3,7,779527.78,1,-0.09,817,2,0,0,0,,,0,0.264,-0.1575,0.0568,0.0715,-0.0403,47.3,0.2004,0.0097,3784,49817,-0.0021,-0.264,27.66,56,0
100002,Agriculture,3.6,Caddo,2269670,0.469,0.1937,222528.91,1.46,0,3686480,1.6242,0.035,60,0,2,23,1068999,0,0.603,825,0,0,0,3197.47,0.452,0.172,0,-0.0092,-0.1519,-0.0526,0.0689,0.1819,46.3,0.5512,0.0149,8012,53375,0.6209,0.4612,27.08,17,0
100003,Manufacturing,2.2,Caddo,918253,0.3753,0.1853,34326.77,0.55,0,1639682,1.7857,0.0358,36,60,1,4,416115.78,0,0.2943,680,0,0,0,0,,,0,0.3192,-0.0824,0.0487,0.2148,-0.0538,63.2,0.1595,0.0075,8825,51175,0.4577,-0.3192,55.28,73,0
100004,Professional Services,0.5,Calcasieu,249438,0.0221,0.0547,8306.66,0.42,0,357380,1.4327,0.0819,84,90,1,3,133268.31,2,-0.0072,603,0,0,0,0,,,0,0.1477,0.0257,0.0237,0.046,0.1997,49.8,0.6888,0.0207,8085,42970,-0.0036,-0.1477,35.76,100,1
100005,Retail,2.7,East Baton Rouge,63483,-0.0362,0.101,2322.34,0.49,0,23803,0.375,0.0631,48,0,2,1,18024.62,1,-0.0774,726,2,0,0,0,,,0,0.1127,0.0144,-0.0411,-0.1313,-0.0768,61.6,0.325,0.0115,2289,37699,-0.0506,-0.1127,24.55,68,0
100006,Retail,14.9,East Baton Rouge,167632,0.1707,0.2673,21470.32,2.1,0,166543,0.9935,0.035,48,0,1,2,56330.63,0,0.0231,850,0,0,0,1418.08,0.2562,0.5037,0,0.2272,-0.2129,0.001,0.2671,-0.0183,51.4,0.2345,0.0114,4529,63249,0.3836,0.029,46.9,5,0
100007,Retail,13.3,Ouachita,64844,0.2764,0.1113,1282.08,0.27,0,0,0,0.049,0,0,0,1,18836.03,1,0.0927,,1,0,0,0,,,0,0.1014,0.0859,-0.0352,-0.0569,0.0765,39.8,0.1821,0.0145,8024,28975,0.1905,-0.1014,22.48,41,0
100008,Real Estate,1.2,St. Tammany,706196,0.4151,0.2031,100082.64,2.13,0,0,0,0.0632,0,0,0,2,241231.35,0,0.3903,676,0,0,0,3884.27,0.3778,0.4177,0,0.1312,0.0942,-0.1078,0.0874,-0.0268,29.8,0.4607,0.0135,6494,48571,0.3209,0.2466,31.33,11,0
100009,Professional Services,14.4,Orleans,261194,0.1719,0.222,,0.61,0,63109,0.2416,0.035,48,0,1,2,115249.01,0,0.2228,813,0,0,0,0,,,0,-0.0641,0.1099,0.1441,-0.0486,0.1452,67.8,0.2702,0.016,5581,22000,0.062,0.0641,41.32,0,0
100010,Manufacturing,7.1,Lafayette,2221025,0.06,0.1785,115343.63,0.76,0,0,0,0.0631,0,0,0,13,845920.67,0,0.0132,763,0,0,1,0,,,0,-0.0309,-0.1602,-0.066,-0.0296,-0.0513,74.6,0.0474,0.0132,8003,23345,0.2202,0.0309,33.79,30,0
